Date,Close/Last,Volume,Open,High,Low
03/16/2021,13151.50,233618,13084.75,13298.00,13056.50
03/15/2021,13078.50,291922,12950.00,13099.00,12872.00
03/12/2021,12933.50,460840,13055.00,13095.00,12768.25
03/11/2021,13048.25,516883,12795.25,13119.25,12724.25
03/10/2021,12749.25,710350,12812.00,12993.25,12703.00
03/09/2021,12788.75,632259,12345.75,12867.50,12326.00
03/08/2021,12297.25,738552,12715.00,12761.25,12281.75
03/05/2021,12663.75,1007098,12435.00,12697.75,12207.25
03/04/2021,12455.00,1044233,12682.00,12663.25,12306.50
03/03/2021,12681.75,743639,13061.25,13192.00,12663.25
03/02/2021,13055.25,558258,13312.25,13328.25,13048.25
03/01/2021,13279.75,506571,12957.50,13318.00,12946.25
02/26/2021,12911.00,828330,12802.50,12954.50,12856.50
02/25/2021,12831.75,875088,13304.75,13020.00,12764.00
02/24/2021,13302.00,657117,13170.75,13334.00,13208.25
02/23/2021,13192.00,850790,13227.00,13335.75,12757.25
02/22/2021,13224.25,634037,13585.00,13446.00,13215.00
02/19/2021,13576.00,523397,13638.25,13610.50,13552.50
02/18/2021,13633.00,563784,13699.50,13669.50,13590.50
02/17/2021,13699.75,574536,13758.25,13710.50,13543.00
02/16/2021,13767.75,596975,13767.00,13782.50,13745.50
02/12/2021,13804.75,389143,13711.25,13820.75,13768.75
02/11/2021,13729.00,491889,13662.00,13743.75,13612.50
02/10/2021,13643.50,548905,13698.00,13769.25,13516.75
02/09/2021,13680.25,364360,13683.50,13735.25,13634.00
02/08/2021,13683.00,390777,13623.75,13693.00,13596.00
02/05/2021,13603.50,426292,13560.00,13638.50,13519.50
02/04/2021,13547.50,405581,13429.50,13568.75,13345.25
02/03/2021,13394.25,494411,13506.00,13584.50,13386.75
02/02/2021,13449.00,483877,13232.50,13509.75,13230.50
02/01/2021,13236.50,543432,12849.00,13271.50,12727.25
01/29/2021,12911.25,729058,13156.00,12944.75,12863.50
01/28/2021,13186.00,616117,13052.50,13318.75,13123.00
01/27/2021,13105.50,777564,13551.00,13158.50,12884.75
01/26/2021,13552.25,496653,13459.75,13599.75,13380.25
01/25/2021,13475.50,658421,13370.00,13554.50,13189.00
